"","x"
"97","db=184ti=34725cl=2"
"98","db=184ti=34725cl=436"
"99","db=184ti=34725cl=440"
"100","db=184ti=34725cl=441"
"101","db=184ti=34820cl=1"
"102","db=184ti=34989cl=41"
"103","db=184ti=3502cl=2"
"104","db=184ti=35034cl=10"
"105","db=184ti=35034cl=18"
"106","db=184ti=35063cl=34"
"107","db=184ti=351514cl=4"
"108","db=184ti=3542cl=5"
"109","db=184ti=35500cl=547"
"110","db=184ti=35567cl=78"
"111","db=184ti=35568cl=212"
"112","db=184ti=35568cl=595"
"113","db=184ti=356303cl=26"
"114","db=184ti=35635cl=0"
"115","db=184ti=3563cl=2"
"116","db=184ti=3573cl=10"
"117","Asynarchus"
"118","db=184ti=359160cl=323"
"119","db=184ti=359160cl=37"
"120","db=184ti=359160cl=69"
"121","db=184ti=3602cl=7"
"122","db=184ti=36151cl=3"
"123","db=184ti=36152cl=2"
"124","db=184ti=3615cl=0"
"125","db=184ti=36161cl=2"
"126","db=184ti=3629cl=3"
"127","db=184ti=3629cl=9"
"128","db=184ti=3650cl=18"
"129","db=184ti=36668cl=92"
"130","db=184ti=36668cl=96"
"131","db=184ti=3680cl=15"
"132","db=184ti=3683cl=10"
"133","db=184ti=36939cl=24"
"134","Barea"
"135","db=184ti=3699cl=95"
"136","db=184ti=3700cl=24"
"137","db=184ti=37093cl=5"
"138","Belvosia"
"139","db=184ti=374063cl=9"
"140","db=184ti=3744cl=711"
"141","db=184ti=3744cl=997"
"142","Bolma"
"143","db=184ti=37516cl=136"
"144","db=184ti=37516cl=6"
"145","db=184ti=37570cl=4"
"146","db=184ti=37581cl=2"
"147","db=184ti=376913cl=152"
"148","db=184ti=377833cl=9"
"149","db=184ti=37850cl=3"
"150","db=184ti=379584cl=6"
"151","db=184ti=37989cl=10"
"152","db=184ti=37990cl=10"
"153","db=184ti=3807cl=0"
"154","db=184ti=3808cl=60"
"155","db=184ti=38127cl=6"
"156","db=184ti=3814cl=72"
"157","db=184ti=38605cl=15"
"158","db=184ti=388450cl=4"
"159","db=184ti=3898cl=1"
"160","db=184ti=39107cl=264"
"161","db=184ti=3931cl=24"
"162","db=184ti=39475cl=5"
"163","db=184ti=39814cl=3"
"164","db=184ti=400781cl=0"
"165","db=184ti=40092cl=4"
"166","db=184ti=40093cl=4"
"167","db=184ti=4027cl=91"
"168","db=184ti=40307cl=2"
"169","db=184ti=40307cl=33"
"170","db=184ti=403667cl=7"
"171","db=184ti=4037cl=24"
"172","db=184ti=404260cl=106"
"173","db=184ti=404260cl=107"
"174","db=184ti=404260cl=228"
"175","db=184ti=404260cl=288"
"176","db=184ti=404260cl=9"
"177","db=184ti=404315cl=13"
"178","db=184ti=4055cl=440"
"179","db=184ti=4055cl=530"
"180","db=184ti=40596cl=1"
"181","db=184ti=4069cl=200"
"182","db=184ti=4070cl=202"
"183","db=184ti=41011cl=1"
"184","db=184ti=41011cl=3"
"185","db=184ti=41029cl=8"
"186","db=184ti=41071cl=55"
"187","db=184ti=41085cl=5"
"188","db=184ti=41086cl=84"
"189","db=184ti=41086cl=91"
"190","db=184ti=41087cl=17"
"191","db=184ti=41093cl=1"
"192","db=184ti=41102cl=2"
"193","db=184ti=41116cl=2"
"194","db=184ti=41142cl=11"
"195","db=184ti=41142cl=13"
"196","db=184ti=41142cl=5"
"197","db=184ti=41243cl=53"
"198","db=184ti=41317cl=34"
"199","db=184ti=41360cl=1"
"200","db=184ti=4144cl=123"
"201","db=184ti=41768cl=31"
"202","db=184ti=41828cl=17"
"203","db=184ti=41828cl=31"
"204","db=184ti=41830cl=66"
"205","db=184ti=41937cl=703"
"206","db=184ti=41937cl=9"
"207","db=184ti=41938cl=3"
"208","db=184ti=41938cl=567"
"209","db=184ti=41943cl=90"
"210","db=184ti=41944cl=224"
"211","db=184ti=41945cl=67"
"212","db=184ti=41954cl=7"
"213","db=184ti=4199cl=2"
"214","db=184ti=4200cl=2"
"215","db=184ti=4219cl=2"
"216","db=184ti=42261cl=16"
"217","db=184ti=42290cl=0"
"218","db=184ti=42297cl=4"
"219","db=184ti=42300cl=16"
"220","db=184ti=42424cl=23"
"221","db=184ti=424551cl=14"
"222","db=184ti=425404cl=3"
"223","db=184ti=426106cl=105"
"224","db=184ti=4274cl=4"
"225","db=184ti=4305cl=17"
"226","db=184ti=4305cl=18"
"227","db=184ti=431838cl=4"
"228","db=184ti=43271cl=2"
"229","db=184ti=4335cl=51"
"230","db=184ti=43469cl=3"
"231","db=184ti=43741cl=10"
"232","db=184ti=43741cl=140"
"233","db=184ti=43741cl=142"
"234","db=184ti=43741cl=149"
"235","db=184ti=43742cl=95"
"236","db=184ti=43746cl=29"
"237","db=184ti=43746cl=32"
"238","db=184ti=43746cl=34"
"239","db=184ti=43746cl=44"
"240","db=184ti=43754cl=17"
"241","db=184ti=43754cl=56"
"242","db=184ti=43755cl=15"
"243","db=184ti=43784cl=66"
"244","db=184ti=43786cl=390"
"245","db=184ti=43799cl=2"
"246","db=184ti=43808cl=14"
"247","db=184ti=43813cl=26"
"248","db=184ti=43817cl=66"
"249","db=184ti=4381cl=15"
"250","db=184ti=43845cl=29"
"251","db=184ti=43845cl=32"
"252","db=184ti=43845cl=34"
"253","db=184ti=43845cl=44"
"254","db=184ti=43916cl=52"
"255","db=184ti=44327cl=8"
"256","db=184ti=44534cl=54"
"257","db=184ti=44570cl=35"
"258","db=184ti=44578cl=13"
"259","db=184ti=451435cl=1"
"260","db=184ti=451834cl=22"
"261","db=184ti=451871cl=5"
"262","db=184ti=452284cl=1"
"263","db=184ti=452335cl=1"
"264","db=184ti=452335cl=5"
"265","db=184ti=452336cl=1"
"266","db=184ti=453770cl=2"
"267","db=184ti=45443cl=3"
"268","db=184ti=46000cl=1"
"269","db=184ti=4609cl=49"
"270","db=184ti=4613cl=5"
"271","db=184ti=4618cl=3"
"272","db=184ti=4618cl=6"
"273","db=184ti=46569cl=3"
"274","db=184ti=46569cl=4"
"275","db=184ti=4667cl=70"
"276","db=184ti=4677cl=37"
"277","db=184ti=46877cl=29"
"278","db=184ti=46877cl=31"
"279","db=184ti=46877cl=32"
"280","db=184ti=46877cl=34"
"281","db=184ti=46877cl=45"
"282","db=184ti=46879cl=12"
"283","db=184ti=46879cl=6"
"284","db=184ti=46879cl=8"
"285","db=184ti=46879cl=9"
"286","db=184ti=469895cl=2"
"287","db=184ti=47166cl=0"
"288","db=184ti=47167cl=0"
"289","db=184ti=4747cl=18"
"290","db=184ti=4747cl=2"
"291","db=184ti=4747cl=20"
"292","db=184ti=4747cl=21"
"293","db=184ti=47520cl=0"
"294","db=184ti=47521cl=0"
"295","db=184ti=47522cl=0"
"296","db=184ti=47526cl=0"
"297","db=184ti=4761cl=0"
"298","db=184ti=4761cl=1"
"299","db=184ti=47697cl=3"
"300","db=184ti=4776cl=3"
"301","db=184ti=4776cl=39"
"302","db=184ti=4777cl=39"
"303","db=184ti=4783cl=15"
"304","db=184ti=479885cl=4"
"305","db=184ti=4827cl=6"
"306","db=184ti=48719cl=8"
"307","db=184ti=48720cl=7"
"308","db=184ti=48720cl=8"
"309","db=184ti=4891cl=25"
"310","db=184ti=4891cl=84"
"311","db=184ti=4891cl=92"
"312","db=184ti=4892cl=25"
"313","db=184ti=4892cl=84"
"314","db=184ti=4892cl=92"
"315","db=184ti=4893cl=26"
"316","db=184ti=4893cl=33"
"317","db=184ti=490053cl=2"
"318","db=184ti=490370cl=73"
"319","db=184ti=4919cl=13"
"320","db=184ti=4919cl=26"
"321","db=184ti=497223cl=15"
"322","db=184ti=49743cl=29"
"323","db=184ti=503140cl=0"
"324","db=184ti=50439cl=6"
"325","db=184ti=50483cl=0"
"326","db=184ti=5052cl=8"
"327","db=184ti=50619cl=6"
"328","db=184ti=50622cl=4"
"329","db=184ti=50622cl=5"
"330","db=184ti=50622cl=8"
"331","db=184ti=50626cl=1"
"332","db=184ti=50671cl=7"
"333","db=184ti=50672cl=0"
"334","db=184ti=50672cl=1"
"335","db=184ti=50672cl=18"
"336","db=184ti=5073cl=7"
"337","db=184ti=50934cl=1"
"338","db=184ti=51111cl=4"
"339","db=184ti=51112cl=4"
"340","db=184ti=5178cl=9"
"341","db=184ti=5185cl=7"
"342","db=184ti=5198cl=0"
"343","db=184ti=5199cl=0"
"344","db=184ti=523720cl=5"
"345","db=184ti=5257cl=1"
"346","db=184ti=52618cl=3"
"347","db=184ti=53016cl=4"
"348","db=184ti=53018cl=4"
"349","db=184ti=5303cl=27"
"350","db=184ti=53506cl=1"
"351","db=184ti=535378cl=17"
"352","db=184ti=54032cl=3"
"353","db=184ti=5415cl=11"
"354","db=184ti=54318cl=11"
"355","db=184ti=543769cl=2"
"356","db=184ti=54695cl=0"
"357","db=184ti=5475cl=47"
"358","db=184ti=54970cl=27"
"359","db=184ti=551290cl=4"
"360","db=184ti=55199cl=5"
"361","db=184ti=554915cl=14"
"362","db=184ti=55746cl=16"
"363","db=184ti=55867cl=6"
"364","db=184ti=55918cl=3"
"365","db=184ti=56259cl=16"
"366","db=184ti=56478cl=0"
"367","db=184ti=5654cl=135"
"368","db=184ti=56717cl=21"
"369","db=184ti=569578cl=4"
"370","db=184ti=569578cl=43"
"371","db=184ti=569629cl=0"
"372","db=184ti=569629cl=1"
"373","db=184ti=569629cl=3"
"374","db=184ti=569643cl=2"
"375","db=184ti=569643cl=3"
"376","db=184ti=569643cl=4"
"377","db=184ti=572384cl=2"
"378","db=184ti=57515cl=4"
"379","db=184ti=5794cl=512"
"380","db=184ti=58149cl=2"
"381","db=184ti=5819cl=11"
"382","db=184ti=586240cl=21"
"383","db=184ti=5878cl=5"
"384","db=184ti=6076cl=4"
"385","db=184ti=6101cl=379"
"386","db=184ti=6102cl=379"
"387","db=184ti=61985cl=70"
"388","db=184ti=6217cl=2"
"389","db=184ti=62784cl=25"
"390","db=184ti=62941cl=1"
"391","db=184ti=6300cl=18"
"392","db=184ti=6300cl=400"
"393","db=184ti=633875cl=0"
"394","db=184ti=6340cl=0"
"395","db=184ti=6341cl=0"
"396","db=184ti=63710cl=44"
"397","db=184ti=63710cl=46"
"398","db=184ti=63710cl=5"
"399","db=184ti=6382cl=30"
"400","db=184ti=6383cl=31"
"401","db=184ti=6383cl=32"
"402","db=184ti=6388cl=13"
"403","db=184ti=6391cl=3"
"404","db=184ti=6392cl=4"
"405","db=184ti=6400cl=8"
"406","db=184ti=6407cl=3"
"407","db=184ti=6411cl=0"
"408","db=184ti=64387cl=10"
"409","db=184ti=6466cl=7"
"410","db=184ti=6489cl=3"
"411","db=184ti=6490cl=1"
"412","db=184ti=64961cl=10"
"413","db=184ti=65022cl=23"
"414","db=184ti=6514cl=3"
"415","db=184ti=65171cl=4"
"416","db=184ti=65231cl=0"
"417","db=184ti=6544cl=2292"
"418","db=184ti=6592cl=1"
"419","db=184ti=6592cl=6"
"420","db=184ti=66056cl=29"
"421","db=184ti=66056cl=40"
"422","db=184ti=6650cl=2"
"423","db=184ti=6651cl=2"
"424","db=184ti=6665cl=2"
"425","db=184ti=6694cl=1"
"426","db=184ti=6694cl=3"
"427","db=184ti=6695cl=12"
"428","db=184ti=6695cl=3"
"429","db=184ti=6712cl=0"
"430","db=184ti=6712cl=25"
"431","db=184ti=67442cl=8"
"432","db=184ti=6749cl=6"
"433","db=184ti=6804cl=1"
"434","db=184ti=6830cl=3"
"435","db=184ti=68515cl=2"
"436","db=184ti=686581cl=0"
"437","db=184ti=6893cl=808"
"438","db=184ti=6905cl=579"
"439","db=184ti=6933cl=46"
"440","db=184ti=6934cl=18"
"441","db=184ti=6935cl=18"
"442","db=184ti=6939cl=3"
"443","db=184ti=6961cl=24"
"444","db=184ti=6964cl=8"
"445","db=184ti=698026cl=3"
"446","db=184ti=6993cl=414"
"447","db=184ti=6993cl=7"
"448","db=184ti=6994cl=45"
"449","db=184ti=6994cl=8"
"450","db=184ti=7001cl=14"
"451","db=184ti=7002cl=6"
"452","db=184ti=7020cl=5"
"453","db=184ti=7042cl=142"
"454","db=184ti=7042cl=3"
"455","db=184ti=7055cl=84"
"456","db=184ti=7055cl=91"
"457","db=184ti=7065cl=0"
"458","db=184ti=7080cl=6"
"459","db=184ti=70895cl=21"
"460","db=184ti=70905cl=3"
"461","db=184ti=70905cl=9"
"462","db=184ti=70910cl=6"
"463","db=184ti=70910cl=7"
"464","db=184ti=70910cl=8"
"465","db=184ti=70988cl=4"
"466","db=184ti=70988cl=5"
"467","db=184ti=71195cl=3"
"468","db=184ti=71195cl=5"
"469","db=184ti=71239cl=574"
"470","db=184ti=71241cl=167"
"471","db=184ti=71243cl=57"
"472","db=184ti=7143cl=0"
"473","db=184ti=7143cl=6"
"474","db=184ti=7148cl=24"
"475","db=184ti=71493cl=0"
"476","db=184ti=7149cl=17"
"477","db=184ti=71526cl=1"
"478","db=184ti=71526cl=53"
"479","db=184ti=71527cl=0"
"480","db=184ti=71527cl=1"
"481","db=184ti=71528cl=14"
"482","db=184ti=71528cl=32"
"483","db=184ti=71529cl=140"
"484","db=184ti=7190cl=11"
"485","db=184ti=7191cl=35"
"486","db=184ti=72034cl=3"
"487","db=184ti=72037cl=3"
"488","db=184ti=7214cl=29"
"489","db=184ti=7214cl=32"
"490","db=184ti=7214cl=34"
"491","db=184ti=7214cl=44"
"492","db=184ti=7214cl=5"
"493","db=184ti=7215cl=10"
"494","db=184ti=7215cl=9"
"495","db=184ti=721786cl=17"
"496","db=184ti=721788cl=17"
"497","db=184ti=721788cl=9"
"498","db=184ti=723663cl=3"
"499","db=184ti=72530cl=27"
"500","db=184ti=72532cl=0"
"501","db=184ti=72532cl=1"
"502","db=184ti=72537cl=50"
"503","db=184ti=72685cl=2"
"504","db=184ti=72773cl=3"
"505","db=184ti=73240cl=2"
"506","db=184ti=7366cl=17"
"507","db=184ti=7381cl=8"
"508","db=184ti=7401cl=53"
"509","db=184ti=7402cl=1"
"510","db=184ti=7402cl=2"
"511","db=184ti=742011cl=1"
"512","db=184ti=7422cl=127"
"513","db=184ti=74388cl=10"
"514","db=184ti=7438cl=3"
"515","db=184ti=7438cl=7"
"516","db=184ti=74974cl=6"
"517","db=184ti=74975cl=6"
"518","db=184ti=7499cl=115"
"519","db=184ti=7499cl=2"
"520","db=184ti=7505cl=0"
"521","db=184ti=7505cl=3"
"522","db=184ti=7516cl=7"
"523","db=184ti=75189cl=3"
"524","db=184ti=75190cl=19"
"525","db=184ti=7520cl=7"
"526","db=184ti=7524cl=932"
"527","db=184ti=75365cl=5"
"528","db=184ti=75389cl=0"
"529","db=184ti=75390cl=0"
"530","db=184ti=7540cl=1"
"531","db=184ti=75546cl=91"
"532","db=184ti=75547cl=1"
"533","db=184ti=757225cl=10"
"534","db=184ti=7586cl=72"
"535","db=184ti=7587cl=31"
"536","db=184ti=75966cl=5"
"537","db=184ti=7683cl=1"
"538","db=184ti=76913cl=1"
"539","db=184ti=7720cl=53"
"540","db=184ti=77225cl=32"
"541","db=184ti=77689cl=0"
"542","db=184ti=78170cl=2"
"543","db=184ti=7826cl=0"
"544","db=184ti=795077cl=19"
"545","db=184ti=795077cl=2"
"546","db=184ti=795077cl=20"
"547","db=184ti=7991cl=8"
"548","db=184ti=7992cl=3"
"549","db=184ti=8015cl=6"
"550","db=184ti=81084cl=0"
"551","db=184ti=8169cl=6"
"552","db=184ti=8180cl=2"
"553","db=184ti=8219cl=18"
"554","db=184ti=8219cl=6"
"555","db=184ti=8220cl=6"
"556","db=184ti=8256cl=73"
"557","db=184ti=82592cl=10"
"558","db=184ti=82592cl=12"
"559","db=184ti=82592cl=8"
"560","db=184ti=82593cl=10"
"561","db=184ti=82593cl=12"
"562","db=184ti=82593cl=8"
"563","db=184ti=82593cl=9"
"564","db=184ti=82596cl=10"
"565","db=184ti=82886cl=0"
"566","db=184ti=83137cl=1"
"567","db=184ti=83311cl=3"
"568","db=184ti=8332cl=1"
"569","db=184ti=8370cl=0"
"570","db=184ti=8417cl=0"
"571","db=184ti=8417cl=26"
"572","db=184ti=8418cl=37"
"573","db=184ti=8427cl=15"
"574","db=184ti=84337cl=0"
"575","db=184ti=85118cl=4"
"576","db=184ti=8515cl=0"
"577","db=184ti=8561cl=35"
"578","db=184ti=8570cl=229"
"579","db=184ti=85823cl=4"
"580","db=184ti=86197cl=18"
"581","db=184ti=8689cl=2"
"582","db=184ti=8689cl=3"
"583","db=184ti=87874cl=0"
"584","db=184ti=886730cl=0"
"585","db=184ti=8907cl=0"
"586","db=184ti=8929cl=2"
"587","db=184ti=8929cl=3"
"588","db=184ti=8930cl=3"
"589","db=184ti=911341cl=20"
"590","db=184ti=911341cl=6"
"591","db=184ti=9136cl=9"
"592","db=184ti=91834cl=7"
"593","db=184ti=9183cl=6"
"594","db=184ti=91893cl=68"
"595","db=184ti=91896cl=39"
"596","db=184ti=9219cl=0"
"597","db=184ti=9220cl=0"
"598","db=184ti=9223cl=0"
"599","db=184ti=9223cl=7"
"600","db=184ti=9224cl=0"
"601","db=184ti=9241cl=3"
"602","db=184ti=9242cl=3"
"603","db=184ti=92558cl=10"
"604","db=184ti=92558cl=13"
"605","db=184ti=92558cl=8"
"606","db=184ti=92581cl=1"
"607","db=184ti=92621cl=6"
"608","db=184ti=92621cl=7"
"609","db=184ti=92621cl=8"
"610","db=184ti=92862cl=2"
"611","db=184ti=92908cl=3"
"612","db=184ti=92993cl=4"
"613","db=184ti=93874cl=8"
"614","db=184ti=93875cl=18"
"615","db=184ti=93880cl=0"
"616","db=184ti=9397cl=193"
"617","db=184ti=9397cl=34"
"618","db=184ti=9398cl=79"
"619","db=184ti=94015cl=8"
"620","db=184ti=94017cl=0"
"621","db=184ti=9443cl=159"
"622","db=184ti=9443cl=71"
"623","db=184ti=95178cl=57"
"624","db=184ti=9527cl=9"
"625","db=184ti=9528cl=3"
"626","db=184ti=95763cl=1"
"627","db=184ti=96235cl=0"
"628","db=184ti=96728cl=5"
"629","db=184ti=9721cl=24"
"630","db=184ti=9722cl=24"
"631","db=184ti=9845cl=552"
"632","db=184ti=986140cl=43"
"633","db=184ti=9895cl=0"
"634","db=184ti=9895cl=18"
"635","db=184ti=993557cl=0"
"636","db=184ti=993557cl=22"
"637","Desmia"
"638","ensGene.ENST00000398950.1.inc"
"639","Eulithis"
"640","Euphausia"
"641","Eupithecia"
"642","Euxoa"
"643","Helina"
"644","Hydriomena"
"645","Idaea"
"646","Coleophora"
"647","knownGene.uc010men.2.1.inc"
"648","Birds_COX1"
"649","Lacinipolia"
"650","Lithobius"
"651","Littorina"
"652","morf_449387_11codonalign.trim_interval.ctx"
"653","db=184ti=10010cl=1"
"654","db=184ti=10066cl=3"
"655","db=184ti=10066cl=62"
"656","morf_453263_11codonalign.trim_interval.ctx"
"657","morf_453642_11codonalign.trim_interval.ctx"
"658","db=184ti=101422cl=2"
"659","db=184ti=10207cl=0"
"660","my_ENSGALG00000014991.macse_DNA_gb"
"661","Birds_N2"
"662","OAT-nucl"
"663","db=184ti=102804cl=15"
"664","Operophtera"
"665","Pachycondyla"
"666","Pero"
"667","db=184ti=102804cl=677"
"668","Pinus"
"669","Polycentropus"
"670","Polypedilum"
"671","db=184ti=102804cl=86"
"672","Procladius"
"673","Proechimys"
"674","Pterostichus"
"675","db=184ti=102808cl=9"
"676","db=184ti=102810cl=8"
"677","db=184ti=102812cl=18"
"678","Schausiella"
"679","Siphona"
"680","Squalus"
"681","db=184ti=102818cl=3"
"682","Tetraclita"
"683","Mammals_CYTB"
"684","Mammals_ND3_mb325"
"685","db=184ti=102818cl=51"
"686","Thysanoessa"
"687","Trifurcula"
"688","db=184ti=104430cl=156"
"689","db=184ti=104435cl=5"
"690","db=184ti=104731cl=2"
"691","db=184ti=1049656cl=0"
"692","db=184ti=105119cl=3"
"693","db=184ti=105387cl=17"
"694","db=184ti=105387cl=6"
"695","db=184ti=105389cl=1"
"696","db=184ti=105390cl=1"
"697","db=184ti=105710cl=9"
"698","db=184ti=107755cl=0"
"699","db=184ti=109961cl=3"
"700","db=184ti=111586cl=0"
"701","db=184ti=112286cl=0"
"702","db=184ti=114657cl=5"
"703","db=184ti=115354cl=20"
"704","db=184ti=115574cl=0"
"705","db=184ti=115580cl=12"
"706","db=184ti=115580cl=2"
"707","db=184ti=115580cl=3"
"708","db=184ti=116151cl=6"
"709","db=184ti=116167cl=4"
"710","db=184ti=116557cl=84"
"711","db=184ti=116561cl=2"
"712","db=184ti=116704cl=65"
"713","db=184ti=116706cl=67"
"714","db=184ti=116707cl=1"
"715","db=184ti=121281cl=5"
"716","db=184ti=122238cl=5"
"717","db=184ti=124286cl=12"
"718","db=184ti=126287cl=15"
"719","db=184ti=126919cl=2"
"720","db=184ti=127320cl=48"
"721","db=184ti=127320cl=6"
"722","db=184ti=127399cl=0"
"723","db=184ti=127400cl=0"
"724","db=184ti=12965cl=0"
"725","db=184ti=131578cl=6"
"726","db=184ti=133076cl=3"
"727","db=184ti=133711cl=4"
"728","db=184ti=13390cl=3"
"729","db=184ti=135860cl=1"
"730","db=184ti=137437cl=6"
"731","db=184ti=137503cl=6"
"732","db=184ti=13798cl=13"
"733","db=184ti=13802cl=1"
"734","db=184ti=139644cl=5"
"735","db=184ti=139992cl=3"
"736","db=184ti=140695cl=0"
"737","db=184ti=144015cl=10"
"738","db=184ti=144015cl=11"
"739","db=184ti=144015cl=12"
"740","db=184ti=144516cl=5"
"741","db=184ti=145353cl=0"
"742","db=184ti=147296cl=4"
"743","db=184ti=147297cl=0"
"744","db=184ti=147366cl=23"
"745","db=184ti=147368cl=102"
"746","db=184ti=147368cl=7"
"747","db=184ti=147368cl=94"
"748","db=184ti=147370cl=261"
"749","db=184ti=147370cl=7"
"750","db=184ti=147376cl=23"
"751","db=184ti=147383cl=6"
"752","db=184ti=147389cl=16"
"753","db=184ti=147389cl=20"
"754","db=184ti=147428cl=6"
"755","db=184ti=147432cl=29"
"756","db=184ti=147435cl=12"
"757","db=184ti=147537cl=25"
"758","db=184ti=147537cl=84"
"759","db=184ti=150273cl=3"
"760","db=184ti=150881cl=0"
"761","db=184ti=150885cl=0"
"762","db=184ti=15170cl=21"
"763","1703"
"764","db=184ti=156152cl=60"
"765","db=184ti=156310cl=1"
"766","db=184ti=158332cl=71"
"767","db=184ti=158332cl=73"
"768","db=184ti=158348cl=3"
"769","db=184ti=158406cl=8"
"770","db=184ti=160427cl=0"
"771","db=184ti=160964cl=1"
"772","db=184ti=162262cl=7"
"773","db=184ti=162266cl=4"
"774","db=184ti=163093cl=6"
"775","db=184ti=163725cl=26"
"776","db=184ti=163729cl=11"
"777","db=184ti=163734cl=0"
"778","db=184ti=163735cl=175"
"779","db=184ti=164862cl=3"
"780","db=184ti=166052cl=2"
"781","db=184ti=166331cl=10"
"782","db=184ti=166331cl=9"
"783","db=184ti=16739cl=53"
"784","db=184ti=167483cl=3"
"785","db=184ti=167483cl=6"
"786","db=184ti=167488cl=4"
"787","db=184ti=167489cl=5"
"788","db=184ti=169447cl=4"
"789","db=184ti=169617cl=60"
"790","db=184ti=169618cl=19"
"791","db=184ti=169619cl=7"
"792","db=184ti=169703cl=0"
"793","db=184ti=169863cl=1"
"794","db=184ti=172236cl=2"
"795","db=184ti=173037cl=1"
"796","db=184ti=173455cl=3"
"797","db=184ti=173647cl=3"
"798","db=184ti=175121cl=68"
"799","db=184ti=177634cl=5"
"800","db=184ti=177823cl=0"
"801","db=184ti=181483cl=3"
"802","db=184ti=183338cl=2"
"803","db=184ti=183385cl=2"
"804","db=184ti=183387cl=1"
"805","db=184ti=184872cl=11"
"806","db=184ti=186265cl=4"
"807","db=184ti=186270cl=4"
"808","db=184ti=186285cl=10"
"809","db=184ti=186285cl=12"
"810","db=184ti=186285cl=6"
"811","db=184ti=186285cl=8"
"812","db=184ti=186285cl=9"
"813","db=184ti=186628cl=8"
"814","2801"
"815","db=184ti=186782cl=16"
"816","db=184ti=186841cl=6"
"817","db=184ti=189314cl=0"
"818","db=184ti=189315cl=36"
"819","db=184ti=189317cl=0"
"820","db=184ti=189478cl=0"
"821","db=184ti=189479cl=0"
"822","db=184ti=189838cl=1"
"823","db=184ti=190769cl=0"
"824","db=184ti=190769cl=1"
"825","db=184ti=190769cl=2"
"826","db=184ti=190812cl=8"
"827","db=184ti=190812cl=9"
"828","db=184ti=191982cl=2"
"829","db=184ti=192204cl=0"
"830","db=184ti=192732cl=15"
"831","db=184ti=192734cl=24"
"832","db=184ti=192734cl=26"
"833","db=184ti=193545cl=0"
"834","db=184ti=195876cl=2"
"835","db=184ti=199901cl=0"
"836","db=184ti=213547cl=5"
"837","db=184ti=213547cl=6"
