"","x"
"497","0000069ti=496886cl=0db=184"
"498","0000027ti=376911cl=52db=184"
"499","0000056ti=49236cl=2db=184"
"500","morf_449249_11codonalign.trim_interval.ctx"
"501","0000034ti=130738cl=3db=184"
"502","0000050ti=65582cl=0db=184"
"503","0000032ti=5244cl=3db=184"
"504","morf_448931_11codonalign.trim_interval.ctx"
"505","0000210ti=163738cl=30db=184"
"506","0000034ti=7002cl=12db=184"
"507","0000134ti=9263cl=32db=184"
"508","0000060ti=27549cl=4db=184"
"509","ensGene.ENST00000358179.1.inc"
"510","0000086ti=4305cl=18db=184"
"511","0000031ti=3681cl=0db=184"
"512","0000046ti=93808cl=0db=184"
"513","0000030ti=211030cl=0db=184"
"514","0000035ti=38609cl=41db=184"
"515","refGene.NM_001099660.1"
"516","0000045ti=71154cl=3db=184"
"517","morf_450916_11codonalign.trim_interval.ctx"
"518","morf_454394_11codonalign.trim_interval.ctx"
"519","knownGene.uc002bdm.1.1"
"520","morf_454227_11codonalign.trim_interval.ctx"
"521","0000029ti=137579cl=0db=184"
"522","0000042ti=214600cl=2db=184"
"523","0000037ti=41972cl=5db=184"
"524","0000027ti=693797cl=0db=184"
"525","morf_451292_11codonalign.trim_interval.ctx"
"526","0000041ti=404315cl=44db=184"
"527","my_ENSGALG00000004779.macse_DNA_gb"
"528","0000037ti=82587cl=28db=184"
"529","0000040ti=59070cl=0db=184"
"530","morf_451435_11codonalign.trim_interval.ctx"
"531","0000072ti=129110cl=0db=184"
"532","0000072ti=116693cl=5db=184"
"533","0000036ti=71492cl=3db=184"
"534","0000034ti=4335cl=6db=184"
"535","0000062ti=70894cl=16db=184"
"536","0000092ti=196951cl=3db=184"
"537","0000050ti=235595cl=0db=184"
"538","0000028ti=128512cl=1db=184"
"539","0000048ti=586240cl=6db=184"
"540","ensGene.ENST00000429468.1.inc"
"541","morf_454293_11codonalign.trim_interval.ctx"
"542","ensGene.ENST00000437081.1.inc"
"543","0000066ti=9398cl=6db=184"
"544","0000029ti=31028cl=12db=184"
"545","refGene.NM_052913.1"
"546","0000071ti=49669cl=0db=184"
"547","0000042ti=27810cl=0db=184"
"548","0000037ti=150882cl=2db=184"
"549","morf_452511_11codonalign.trim_interval.ctx"
"550","0000039ti=37411cl=6db=184"
"551","0000033ti=41946cl=7db=184"
"552","0000056ti=4740cl=1db=184"
"553","refGene.NM_002252.1"
"554","0000029ti=101146cl=22db=184"
"555","0000052ti=7625cl=68db=184"
"556","0000048ti=51763cl=9db=184"
"557","0000062ti=3038cl=15db=184"
"558","0000091ti=171576cl=3db=184"
"559","0000037ti=31314cl=2db=184"
"560","refGene.NM_001143823.1.inc"
"561","0000066ti=241778cl=7db=184"
"562","refGene.NM_004310.1"
"563","0000034ti=5267cl=8db=184"
"564","0000083ti=56632cl=1db=184"
"565","0000041ti=41125cl=2db=184"
"566","0000061ti=3646cl=17db=184"
"567","morf_450734_11codonalign.trim_interval.ctx"
"568","0000109ti=3745cl=8db=184"
"569","my_ENSGALG00000011452.macse_DNA_gb"
"570","0000044ti=319060cl=23db=184"
"571","0000029ti=176448cl=1db=184"
"572","morf_448609_11codonalign.trim_interval.ctx"
"573","0000041ti=315355cl=0db=184"
"574","0000055ti=31092cl=1db=184"
"575","0000066ti=640623cl=3db=184"
"576","0000029ti=8728cl=15db=184"
"577","knownGene.uc002euc.2.1.inc"
"578","0000089ti=147367cl=32db=184"
"579","0000045ti=27864cl=3db=184"
"580","0000051ti=141941cl=0db=184"
"581","0000028ti=402723cl=4db=184"
"582","0000041ti=45080cl=0db=184"
"583","0000041ti=34905cl=15db=184"
"584","0000041ti=169660cl=0db=184"
"585","0000110ti=191424cl=8db=184"
"586","0000035ti=551351cl=1db=184"
"587","0000031ti=187791cl=2db=184"
"588","knownGene.uc010lsp.1.1"
"589","0000056ti=208717cl=1db=184"
"590","morf_452636_11codonalign.trim_interval.ctx"
"591","knownGene.uc001wra.1.1.inc"
"592","0000040ti=43043cl=3db=184"
"593","0000048ti=8180cl=7db=184"
"594","knownGene.uc001zpb.2.1"
"595","0000126ti=51590cl=4db=184"
"596","0000040ti=115307cl=2db=184"
"597","morf_450652_11codonalign.trim_interval.ctx"
"598","0000028ti=41946cl=9db=184"
"599","0000038ti=158364cl=9db=184"
"600","0000066ti=44927cl=4db=184"
"601","0000046ti=5339cl=79db=184"
"602","0000038ti=9194cl=4db=184"
"603","0000026ti=272242cl=28db=184"
"604","0000029ti=82616cl=5db=184"
"605","0000029ti=42450cl=3db=184"
"606","0000102ti=3502cl=4db=184"
"607","0000092ti=129949cl=5db=184"
"608","0000080ti=640079cl=2db=184"
"609","refGene.NM_001008726.1.inc"
"610","0000031ti=192735cl=2db=184"
"611","0000040ti=33550cl=72db=184"
"612","morf_453010_11codonalign.trim_interval.ctx"
"613","0000061ti=3044cl=5db=184"
"614","0000028ti=127176cl=2db=184"
"615","morf_451167_11codonalign.trim_interval.ctx"
"616","0000034ti=40139cl=2db=184"
"617","0000062ti=42216cl=0db=184"
"618","0000044ti=169628cl=0db=184"
"619","1898"
"620","morf_450731_11codonalign.trim_interval.ctx"
"621","0000038ti=8570cl=27db=184"
"622","morf_449294_11codonalign.trim_interval.ctx"
"623","refGene.NM_032160.1.inc"
"624","0000037ti=3246cl=26db=184"
"625","0000044ti=177776cl=4db=184"
"626","0000036ti=59070cl=2db=184"
"627","0000033ti=127312cl=3db=184"
"628","morf_449513_11codonalign.trim_interval.ctx"
"629","0000071ti=403666cl=0db=184"
"630","0000025ti=30725cl=4db=184"
"631","0000074ti=174527cl=1db=184"
"632","0000052ti=161935cl=2db=184"
"633","0000073ti=235633cl=0db=184"
"634","0000032ti=432005cl=1db=184"
"635","0000030ti=70987cl=4db=184"
"636","0000054ti=233309cl=5db=184"
"637","morf_454261_11codonalign.trim_interval.ctx"
"638","morf_449178_11codonalign.trim_interval.ctx"
"639","refGene.NM_000910.1"
"640","0000029ti=137579cl=1db=184"
"641","0000056ti=65009cl=2db=184"
"642","0000042ti=35445cl=1db=184"
"643","morf_449432_11codonalign.trim_interval.ctx"
"644","morf_451450_11codonalign.trim_interval.ctx"
"645","14710"
"646","0000032ti=123694cl=3db=184"
"647","morf_451934_11codonalign.trim_interval.ctx"
"648","0000032ti=123694cl=4db=184"
"649","morf_448992_11codonalign.trim_interval.ctx"
"650","knownGene.uc002ypf.1.1.inc"
"651","refGene.NM_153377.1.inc"
"652","knownGene.uc003tic.2.1"
"653","morf_450331_11codonalign.trim_interval.ctx"
"654","morf_450125_11codonalign.trim_interval.ctx"
"655","0000031ti=119088cl=139db=184"
"656","0000101ti=54744cl=1db=184"
"657","0000071ti=30828cl=0db=184"
"658","ensGene.ENST00000437205.1.inc"
"659","0000098ti=2896cl=1db=184"
"660","0000040ti=30001cl=0db=184"
"661","0000052ti=131324cl=2db=184"
"662","0000043ti=8397cl=10db=184"
"663","0000035ti=66475cl=0db=184"
"664","0000086ti=88467cl=1db=184"
"665","my_ENSGALG00000003924.macse_DNA_gb"
"666","knownGene.uc010psm.1.1"
"667","0000123ti=10114cl=4db=184"
"668","0000031ti=39226cl=0db=184"
"669","0000029ti=135860cl=2db=184"
"670","0000134ti=3684cl=11db=184"
"671","0000042ti=241778cl=6db=184"
"672","0000098ti=77657cl=8db=184"
